Equipment,Description,Location,Cost Center,Planning plant,ManufSerialNo.,Acquistion date,Room,Sort field
220073057,MSI-117 JKS OUTSTOCKER,,2200000000,2210,2655,04/01/2005,,SCRAP BEFORE SAP
220073059,MAP-C-104 JKS INSTOCKER,HON,22HON11411,2220,2746,04/01/2005,,PLANT 2 2017
220073060,MAP-C-104,GMC,22GMC11415,2220,2657,04/01/2005,,SCRAP BEFORE SAP
220073067,MAP-C-104,STD,22STD11244,2210,,12/01/2005,,WAREHOUSE 2017
220073068,INSTOCKER,DCX,22DCX11403,2220,BF0656,02/01/2006,,PLANT 2 2017
220073069,BUFFER CONVEYOR,DCX,22DCX11403,2220,M900A,02/01/2006,,PLANT 2 2017
220073070,INSTOCKER,DCX,22DCX11403,2220,BF0658,02/01/2006,,PLANT 2 2017
220073071,MSI-117 OUTSTOCKER,DCX,22DCX11403,2220,M900C,02/01/2006,,PLANT 2 2017
220073072,MSI-117 OUTSTOCKER,DCX,22DCX11403,2220,M900F,02/01/2006,,PLANT 2 2017
220073073,MSI-128,STD,22STD11290,2210,0816S1266A,04/01/2006,,WAREHOUSE 2017
220073074,AACONVEYOR,ALM,,2210,,06/01/2006,,SCRAP BEFORE SAP
220073075,MAP-C-104,DCX,22DCX11403,2220,BF0696,09/01/2006,,SCRAP BEFORE SAP
220073077,BUFFCONVEY,DCX,22DCX11403,2220,M900G,09/01/2006,,SCRAP BEFORE SAP
220073078,MSI-117,DCX,22DCX11403,2220,M900I,09/01/2006,,SCRAP BEFORE SAP
220073080,MSI-117 WASHER OUTSTOCKER IN,DCX,22DCX11403,2220,M9800IN,11/01/2006,,PLANT 2 2017
220073082,MAP-C-107,STD,22STD11244,2210,,,,WAREHOUSE 2017
220073083,MID BUFFER AND CONVEYOR,HYC,22DCX11404,2220,UA1130,,,PLANT 2 2017
220073084,MSI-117 OUTSTOCKER,HYC,22DCX11404,2220,1619S2282,,,PLANT 2 2017
220073085,IN/OUTSTOCKER,HYC,22DCX11404,2220,UA1150A,,,PLANT 2 2017
220073086,IN/OUTSTOCKER,HYC,22DCX11404,2220,UA1150B,,,PLANT 2 2017
220073087,INSTOCKER,HYC,22DCX11404,2220,UA1160,,,PLANT 2 2017
220073088,OUTSTOCKER,HYC,22DCX11404,2220,1620S2283,,,PLANT 2 2017
220073089,OUTSTOCKER,DCX,22DCX11403,2220,UA2600,,,WAREHOUSE 2017
220073090,SHEETFEED,HDR,22HDR11600,2210,,,,PLANT 1 2017
220073091,MAP-C-104,STD,22STD11280,2210,,,,PLANT 1 2017
220073093,L/UNLOAD,ASY,22ASY11130,2210,,,,SCRAP BEFORE SAP
220073094,PARTS LOADING AND UNLOADING MACHINE,ASY,22ASY11110,2210,,,,PLANT 1 2017
220073095,PARTS LOADING AND UNLOADING MACHINE,ASY,22ASY11260,2210,,,,SCRAP BEFORE SAP
220073096,INSTOCKER,DCX,22DCX11403,2220,UA2610,,,PLANT 2 2017
220073099,Instocker - Rack End 2,HSG,22HSG11254,2210,,,,PLANT 1 2017
220073100,MAP-C TECHNICAL,STD,22STD11256,2210,,10/01/2012,,PLANT 1 2017
220073101,MAP-C TECHNICAL INSTOCKER,STD,22STD11256,2210,,10/01/2012,,PLANT 1 2017
220073102,MAP-C TECHNICAL INSTOCKER,STD,22STD11256,2210,,10/01/2012,,PLANT 1 2017
220073103,MAP-C TECHNICAL INSTOCKER,STD,22STD11256,2210,,10/01/2012,,PLANT 1 2017
220073104,73104,STD,22STD11256,2210,,,,PLANT 1 2017
220073105,73105,HSG,22HSG11210,2210,,,,PLANT 1 2017
220073106,73106,HSG,22HSG11211,2210,0910S1399E,,,SCRAP BEFORE SAP
220073107,Instocker,HSG,,2210,,,,PLANT 1 2017
220073109,Instocker - Tie Rod Housing 4,HSG,22HSG11276,2210,,,,PLANT 1 2017
220073110,STEP FEED - VIBRATORY,HSG,22HSG11277,2210,12-121C,,,PLANT 1 2017
220073111,STEP FEED - VIBRATORY,HSG,22HSG11278,2210,12-121D,,,PLANT 1 2017
220073112,Instocker -LBJ HSG 2,HSG,22HSG11211,2210,,,,PLANT 1 2017
220073113,Instocker 1 - RUA HSG 6,HSG,22HSG11205,2210,,,,PLANT 1 2017
220073114,Instocker 2 - RUA HSG 6,HSG,22HSG11205,2210,,,,PLANT 1 2017
220073115,Runout Check - V6 Finishing,HON,22HON11411,2220,,,,SCRAP 2017
220073116,BUFFER CONVEYOR - UNI,HON,22HON11416,2220,UA5100,09/01/2013,,PLANT 2 2017
220073117,Runout Check - V6 Finishing,HON,22HON11411,2220,,,,SCRAP 2017
220073118,RE HSG 1 Instocker,HSG,22HSG11251,2210,,,,PLANT 1 2017
220073121,Instocker - Rack End 5,HSG,22HSG11203,2210,13-125D,,,PLANT 1 2017
220073125,VTR Instocker,STD,22STD11240,2210,,,,PLANT 1 2017
220073126,VTR Instocker,STD,22STD11220,2210,,,,PLANT 1 2017
220073127,VTR Instocker,STD,22STD11230,2210,14-012A,,,PLANT 1 2017
220073128,RR UP HSG 6 Transfer,HSG,22HSG11205,2210,,,,PLANT 1 2017
220073129,UNI Buffer Conveyor,HON,22HON11437,2220,UA6780B,,,PLANT 2 2017
220073130,VTR Instocker - Stud Line 16,STD,22STD11258,2210,,,,PLANT 1 2017
220073131,VTR Outstocker - Stud Line 16,STD,22STD11258,2210,,,,PLANT 1 2017
220073132,Tie Rod 7 Instocker,HSG,22HSG11283,2210,,,,PLANT 1 2017
220073133,Tie Rod 8 Instocker,HSG,22HSG11285,2210,,,,PLANT 1 2017
220073134,LBJ 6 Instocker Cat Paw,HSG,22HSG11288,2210,,,,PLANT 1 2017
220073135,Loader/Transfer Catspaw LBJ5,HSG,22HSG11287,2210,,,,PLANT 1 2017
220073136,Loader/Transfer Catspaw LBJ6,HSG,22HSG11288,2210,,,,PLANT 1 2017
220073322,FS LOADER,STD,22STD11244,2210,,09/01/2004,,SCRAP BEFORE SAP
220073372,MAP-C-109,,2200000000,2210,,,,SCRAP BEFORE SAP
220073373,MAP-C-109,CRD,22CRD11371,2210,,,,PLANT 1 2017
220073374,MAP-C-109,CRD,22CRD11372,2210,,,,PLANT 1 2017
220073375,MAP-C-109,CRD,22CRD11373,2210,,,,PLANT 1 2017
220073376,MAP-C-109,CRD,22CRD11374,2210,,,,PLANT 1 2017
220073377,MAP-C-109,CRD,22CRD11375,2210,,,,PLANT 1 2017
220073378,MAP-C-109,CRD,22CRD11376,2210,,,,PLANT 1 2017
220073451,INSTOCKER SJC TRE LINE,HSG,22HSG11250,2210,,,,PLANT 1 2017
220073452,Bowl Feeder - RR UP HSG 5,HSG,22HSG11204,2210,,,,PLANT 1 2017
220073572,Instocker - Tie Rod Housing,HSG,22HSG11298,2210,,,,SCRAP 2017
220073573,INSTOCKER,HSG,22HSG11270,2210,,,,PLANT 1 2017
220073574,Tie Rod 6 Instocker,HSG,22HSG11281,2210,,,,PLANT 1 2017
220073575,LBJ 5 Instocker Cats Paw,HSG,22HSG11287,2210,,,,PLANT 1 2017
220073577,UNI Cam grinder Loader,FRD,22FRD11425,2220,U2880,,,PLANT 2 2017
220073578,UNI FINISHING Loader,FRD,22FRD11425,2220,UA2910,,,PLANT 2 2017
220073579,FINISHING OUTSTOCKER,GMC,22GMC11415,2220,UA2930,,,WAREHOUSE 2017
220073580,STOCKER & LOADER,HON,22HON11411,2220,UA1980,,,PLANT 2 2017
220073581,IN/OUT STOCKER AND LOADER,DCX,22DCX11403,2220,UA3990,,,WAREHOUSE 2017
220073582,UNI Buffer Conveyor,HON,22HON11418,2220,UA7490B,,,PLANT 2 2017
220075003,Tote Washer,,22ALM11611,2210,44290,08/01/2000,,PLANT 1 2017
220075004,SNB-50Y,FOR,22FOR11303,2210,A-328143(DWG#E3SNB-31640),05/01/2001,,PLANT 1 2017
220075005,SNE15-4,HDR,22HDR11305,2210,A-325293(DWG#EA3-35816),05/01/2001,,PLANT 1 2017
220075006,FXIII-55PB,FOR,22FOR11300,2210,DW#06473,05/01/2001,,PLANT 1 2017
220075007,MANU SHOT,FOR,22FOR11300,2210,,06/01/2001,,PLANT 1 2017
220075008,BILLET HEATER,FOR,22FOR11300,2210,BH-2-500(102-52055/102-52056),05/01/2001,,PLANT 1 2017
220075009,MP04,HON,22HON11412,2220,1017313,12/01/2004,,SCRAP BEFORE SAP
220075010,MP04,HON,22HON11412,2220,1017314,12/01/2004,,SCRAP BEFORE SAP
220075011,MP04,HON,22HON11411,2220,1017315,12/01/2004,,SCRAP BEFORE SAP
220075012,MP04,HON,22HON11412,2220,1017316,12/01/2004,,SCRAP BEFORE SAP
220075013,MP04,HON,22HON11413,2220,1017332,12/01/2004,,SCRAP BEFORE SAP
220075014,MP04,HON,22HON11411,2220,1017333,12/01/2004,,SCRAP BEFORE SAP
220075015,MP04,HON,22HON11412,2220,1017334,12/01/2004,,SCRAP BEFORE SAP
220075016,MP04,HON,22HON11411,2220,1017335,12/01/2004,,SCRAP BEFORE SAP
220075018,Ball Joint Test Machine,,,2210,,,,WATERLOO 2017
220075021,Auto Tester / Transfer,HSG,22HSG11298,2210,,,,PLANT 1 2017
220075025,Auto Tester,HSG,22HSG11294,2210,,,,PLANT 1 2017
220075026,IBT SPIN BLAST MACHINE,HDR,22HDR11600,2210,1363,10/01/2012,,PLANT 1 2017
220075027,MONARCH AUTO TESTER,STD,22STD11256,2210,,10/01/2012,,PLANT 1 2017
220075028,IBT SHOT BLAST,F24,22F2411309,2210,,,,SCRAP 2016
220075029,Auto Tester / Transfer - Tie Rod HSG 4,HSG,22HSG11276,2210,,,,SCRAP 2016
220075030,Threadroller / Loader / Auto Tester,STD,22STD11258,2210,,,,PLANT 1 2017
220075031,Burnisher / Loader - Stud Line 16,STD,22STD11258,2210,,,,PLANT 1 2017
220075101,Elastic Lift Test Machine,,,2210,,,,WATERLOO 2017
220075102,Ball Joint Seat Abrasion Test Machine,,,2210,,,,WATERLOO 2017
220075103,Impact Test Machine,,,2210,,,,WATERLOO 2017
220075143,Vibration Test Machine,,,2210,,,,WATERLOO 2017
220075301,Final Inspection - Stud line 2,STD,22STD11220,2210,,,,PLANT 1 2017
220075302,MSI-127,STD,22STD11230,2210,0247S0674,12/01/1999,,PLANT 1 2017
220075303,STDCHKER,STD,22STD11240,2210,,11/01/2000,,PLANT 1 2017
220075309,UNICHECKER,HSG,22HSG11210,2210,M204,11/01/2000,,SCRAP BEFORE SAP
220075310,UNICHECKER,HSG,22HSG11211,2210,M204,11/01/2000,,SCRAP BEFORE SAP
220075311,LINECHECKE,CRD,22CRD11371,2210,M204,11/01/2000,,PLANT 1 2017
220075313,STDCHKER,STD,22STD11230,2210,,,,PLANT 1 2017
220075314,STDCHKER,STD,22STD11220,2210,M203,11/01/2000,,PLANT 1 2017
220075315,STDCHKER,STD,22STD11240,2210,M203,11/01/2000,,PLANT 1 2017
220075316,CLP CHECKER,CLP,22CLP11316,2210,2510,05/01/2001,,PLANT 1 2017
220075317,CLP CHECKER,CLP,22CLP11315,2210,2511,05/01/2001,,PLANT 1 2017
220075318,CLP CHECKER,CLP,22CLP11314,2210,2512,,,SCRAP BEFORE SAP
220075320,CLP CHECKER,,2200000000,2210,2514,05/01/2001,,SCRAP BEFORE SAP
220075322,MSI-125,CLP,22CLP11316,2210,0909S1401A,05/01/2001,,PLANT 1 2017
220075323,MSI-125,CLP,22CLP11315,2210,0909S1401B,05/01/2001,,PLANT 1 2017
220075324,MSI-125,CLP,22CLP11314,2210,0909S1401C,05/01/2001,,SCRAP BEFORE SAP
220075326,MSI-125,,2200000000,2210,0909S1401E,05/01/2001,,SCRAP BEFORE SAP
220075328,MEASMACH,STD,22STD11280,2210,M353OUT,11/01/2001,,PLANT 1 2017
220075329,CLP CHECKER,CLP,22CLP11317,2210,2584,03/01/2002,,PLANT 1 2017
220075330,CLP CHECKER,CLP,22CLP11318,2210,2583,03/01/2002,,PLANT 1 2017
220075331,MSI-125,CLP,22CLP11317,2210,0909S1556B,03/01/2002,,PLANT 1 2017
220075332,MSI-125,CLP,22CLP11318,2210,0909S1556A,03/01/2002,,PLANT 1 2017
220075333,UNICHECKER,HSG,22HSG11293,2210,M380B,04/01/2002,,PLANT 1 2017
220075334,UNICHECKER,HSG,22HSG11292,2210,M380D,07/01/2002,,PLANT 1 2017
220075335,UNICHECKER,HSG,22HSG11291,2210,M380E,07/01/2002,,PLANT 1 2017
220075336,CLP CHECKER,CLP,22CLP11321,2210,2705,07/01/2003,,PLANT 1 2017
220075337,CLP CHECKER,CLP,22CLP11322,2210,2704,07/01/2003,,SCRAP BEFORE SAP
220075338,MSI-125,CLP,22CLP11321,2210,1199S1791A,07/01/2003,,PLANT 1 2017
220075339,MSI-125,CLP,22CLP11322,2210,1199S1791B,08/01/2003,,SCRAP BEFORE SAP
220075340,STDCHKER,STD,22STD11241,2210,M671B,03/01/2004,,PLANT 1 2017
220075341,MSI-127,STD,22STD11241,2210,M671C,03/01/2004,,PLANT 1 2017
220075342,STDCHKER,STD,22STD11253,2210,,07/01/2004,,PLANT 1 2017
220075345,JOURNAL INSPECTION,GMC,22GMC11415,2220,L24-31-1,11/01/2004,,WAREHOUSE 2017
220075346,JOURNAL INSPECTION,FRD,22FRD11425,2220,L24-31-2,11/01/2004,,PLANT 2 2017
220075350,MAP-MI-101 PIN HOLE VISION SYSTEM,,2200000000,2210,,04/01/2005,,UNDER REVIEW - TBD
220075351,MAP-C-102 AUTO TESTER,DCX,22DCX11403,2220,L25-20,02/01/2006,,PLANT 2 2017
220075352,NIPPON CHECKER,DCX,22DCX11403,2220,M900B,02/01/2006,,PLANT 2 2017
220075353,MAP-C-102 AUTO TESTER,DCX,22DCX11403,2220,L25-19,02/01/2006,,PLANT 2 2017
220075354,MAP-C-108,STD,22STD11290,2210,,06/01/2006,,UNDER REVIEW - TBD
220075355,NIPPON CHECKER,DCX,22DCX11403,2220,M900H,09/01/2006,,WAREHOUSE 2017
220075357,MEASURING MACHINE,HYC,22DCX11404,2220,UA1100,,,PLANT 2 2017
220075358,OILHOLE INSPECTION,HYC,22DCX11404,2220,UA1120,,,PLANT 2 2017
220075359,MAP-C-102 AUTO TESTER,HYC,22DCX11404,2220,L28-03,,,PLANT 2 2017
220075440,BUFFER AND INSPSECTION MACHINE UNI,HON,22HON11416,2220,UA4900,09/01/2013,,PLANT 2 2017
220075441,ENOMOTO LATHING CHECKER,FRD,22FRD11429,2220,S2727-1L,08/01/2013,,PLANT 2 2017
220075442,UNI OIL HOLE INSPECTION MACHINE,FRD,22FRD11429,2220,UA4700,08/01/2013,,PLANT 2 2017
220075443,JAPAN GAUGE JGC AUTO TESTER,FRD,22FRD11429,2220,L33-10,08/01/2013,,PLANT 2 2017
220075444,OIL HOIL INSPECTION MACHINE UNI,HON,22HON11416,2220,UA4910,09/01/2013,,PLANT 2 2017
220075445,JGC INSPECTION MACHINE UNIT,HON,22HON11416,2220,L33-18,09/01/2013,,PLANT 2 2017
220075446,LATHING CHECKER ENOMOTO,FRD,22FRD11423,2220,,,,PLANT 2 2017
220075447,UNI VTC CHECKER,FRD,22FRD11423,2220,UA5170,,,PLANT 2 2017
220075448,JGC INSPECTION M/C,FRD,22FRD11423,2220,L33-11-2,,,PLANT 2 2017
220075449,MSI-120,HSG,22HSG11291,2210,1570S2218A,,,SCRAP 2017
220075450,MAP-C-102,HSG,22HSG11296,2210,,,,PLANT 1 2017
220075451,MAP-C-102,HSG,22HSG11295,2210,,,,PLANT 1 2017
220075452,MSI-127,STD,22STD11244,2210,0566-S992,09/01/2004,,SCRAP BEFORE SAP
220075454,ENOMOTO LATHING CHECKER,FRD,22FRD11424,2220,,,,PLANT 2 2017
220075455,UNI VTC CHECKER,FRD,22FRD11424,2220,UA5160,,,PLANT 2 2017
220075456,JGC INSPECTION M/C,FRD,22FRD11424,2220,L33-11-1,,,PLANT 2 2017
220075457,Autotester - LBJ HSG 3,HSG,22HSG11277,2210,,,,PLANT 1 2017
220075458,LBJ 4 Auto Tester,HSG,22HSG11278,2210,,,,PLANT 1 2017
220075459,UNI Lathing Auto Tester,HON,22HON11437,2220,UA6770,,,PLANT 2 2017
220075460,UNI Milling Auto Tester,HON,22HON11437,2220,UA6780A,,,PLANT 2 2017
220075461,JGC Auto Tester,HON,22HON11437,2220,L35-18,,,PLANT 2 2017
220075462,UNI Buffer and Lathing Auto Tester,HON,22HON11418,2220,UA7480,,,PLANT 2 2017
220075463,UNI Milling Auto Tester,HON,22HON11418,2220,UA7490A,,,PLANT 2 2017
220075464,JGC Auto Tester,HON,22HON11418,2220,L36-23,,,PLANT 2 2017
220075500,JGC Auto Tester,HON,22HON11411,2220,L35-19,,,PLANT 2 2017
220075501,Uni Buffer and Lathing Auto Tester,FRD,22FRD11425,2220,UA7390,,,PLANT 2 2017
220075502,AP4 Porosity Inspection Station,HON,22HON11416,2220,75502,,,PLANT 2 2017
220075503,Stud Hole Checker - Portable,STD,,2210,,,,
220076001,AUTO ASSEM,ASY,22ASY11120,2210,C003,01/01/1998,,SCRAP BEFORE SAP
220076003,MSI-129,ASY,22ASY11160,2210,0556S0985A,05/01/1998,,PLANT 1 2017
220076004,Caulking Station,ASY,22ASY11160,2210,,,,PLANT 1 2017
220076005,MSI-102,ASY,22ASY11160,2210,0560S0987A,05/01/1998,,PLANT 1 2017
220076006,MSI-112,ASY,22ASY11160,2210,0562S0998A,05/01/1998,,PLANT 1 2017
220076007,MSI-105,ASY,22ASY11160,2210,0739S1160A,,,WAREHOUSE 2017
220076010,MSI-121,ASY,22ASY11170,2210,0153S0495-E-003,07/01/1998,,PLANT 1 2017
220076011,AUTO ASSEM,ASY,22ASY11130,2210,,06/01/1999,,SCRAP BEFORE SAP
220076012,SANYO REAR UPPER ARM COMP OP1,ASY,22ASY11350,2210,CB301-10,06/01/1999,,PLANT 1 2017
220076013,SANYO REAR UPPER ARM COMP OP2,ASY,22ASY11350,2210,CB301-10,06/01/1999,,PLANT 1 2017
220076017,T2A LBJ Assembly,ASY,22ASY11115,2210,13 ACCORD LBJ STARTUP,,,PLANT 1 2017
220076018,TIEROD END,ASY,22ASY11260,2210,S1298A,06/01/2000,,UNDER REVIEW - TBD
220076019,STD SEAT P,ASY,22ASY11350,2210,1352A,06/01/2002,,PLANT 1 2017
220076020,AUTO ASSEM,ASY,22ASY11110,2210,C001,01/01/1998,,PLANT 1 2017
220076022,AUTO ASSEM,ASY,22ASY11260,2210,C002,01/01/1998,,UNDER REVIEW - TBD
220076023,MSI-123,ASY,22ASY11170,2210,1027S1570A,07/01/2002,,PLANT 1 2017
220076024,MSI-130,ASY,22ASY11160,2210,1206S1813A,11/01/2003,,WAREHOUSE 2017
220076025,MAP-C-101,ASY,22ASY11140,2210,76025-04C,03/01/2004,,PLANT 1 2017
220076026,SENSOR AND PIN ASSY,GMC,22GMC11415,2220,M733C,11/01/2004,,WAREHOUSE 2017
220076028,MAP-C-105,ASY,22ASY11110,2210,,05/01/2006,,UNDER REVIEW - TBD
220076029,PIN & PLUG FITTING PRESS,DCX,22DCX11403,2220,M900E,02/01/2006,,PLANT 2 2017
220076030,CA NUT,ASY,22ASY11380,2210,55001-NT-CP,06/01/2006,,PLANT 1 2017
220076031,RUACOMPOP1,ASY,22ASY11390,2210,UA0090,04/01/2007,,PLANT 1 2017
220076032,RUACOMPOP2,ASY,22ASY11390,2210,UA0110,04/01/2007,,PLANT 1 2017
220076033,ALM ARM COMP MACHINE OP1,ASY,22ASY11380,2210,UA0440,,,PLANT 1 2017
220076034,ALM ARM COMP MACHINE OP2,ASY,22ASY11380,2210,UA0450,,,PLANT 1 2017
220076035,PIN FITTING PRESS,HYC,22DCX11404,2220,UA1140,,,PLANT 2 2017
220076036,PLUG FITTING PRESS,HYC,22DCX11404,2220,UA1150,,,PLANT 2 2017
220076037,PLUG PRESS,HON,22HON11411,2220,AL-43A,,,SCRAP 2017
220076038,PLUG PRESS,HON,22HON11411,2220,AL-43B,,,SCRAP 2017
220076039,SENSOR RING PRESS,HON,22HON11413,2220,UA2000,,,WAREHOUSE 2017
220076040,TRO LBJ OP2,ASY,22ASY11141,2210,,,,PLANT 1 2017
220076042,T-Line Index Op 1,ASY,22ASY11140,2210,,01/01/2004,,PLANT 1 2017
220076043,TRO LBJ OP1,ASY,22ASY11141,2210,,,,PLANT 1 2017
220076044,A-Line OP2,ASY,22ASY11390,2210,,,,PLANT 1 2017
220076045,MAPC,ASY,22ASY11145,2210,T-LINE CIVIC 20MM BOOT STN,,,PLANT 1 2017
220076046,Tie Rod ASY Line 1,ASY,22ASY11135,2210,,,,PLANT 1 2017
